	NZ_CP023661	NZ_CP018854	NZ_CP009037	NZ_CP075325	NC_003919	NZ_CP009025	NZ_CP020889	NZ_CP060453	NZ_CP060002	NZ_CP023662	NZ_CP060446	NZ_CP059999	NZ_CP011827	NZ_CP018850	NZ_CP096227	NZ_CP060460	NZ_CP012002	NZ_CP009001	NZ_CP060470	NZ_CP009040	NZ_CP009004	NZ_CP008995	NZ_CP011160	NZ_CP008992	NZ_CP008989	NZ_CP008998	NZ_CP009019	NZ_CP020885	NZ_CP023285	NZ_CP009010	NZ_CP060465	NZ_CP009016	NZ_CP020882	NZ_CP009031	NZ_CP011250	NZ_CP009013	NZ_CP018858	NZ_CP009007	NZ_CP009022	NZ_CP009028	NZ_CP018847	NC_020815	NZ_CP011163
NZ_CP023661	1.0	0.9996068087984208	0.9980680919553333	0.9997189857948618	0.999812334246031	0.999814427880203	0.9982795628837141	0.9983821186582549	0.9996959929084784	0.9994872606234073	0.9985276814672223	0.9996454200779851	0.9996692223670554	0.9996088956248883	0.999713642398976	0.998620372136878	0.9632071199887017	0.9998211545131878	0.9984459123777248	0.9980690699120768	0.9998173398478292	0.9998142375498237	0.9636079646385922	0.9997302075527497	0.9997430522428764	0.9998298628793991	0.9998242562238658	0.9983073208803389	0.999693536587777	0.9998117997058569	0.9986079051200272	0.9998253876215664	0.998280935841565	0.998069254048479	0.9631518891742799	0.9998075378649744	0.9996173493108624	0.9998132858979274	0.99980834095592	0.9998142375498237	0.9996278822863862	0.9980722285158564	0.963392370606419
NZ_CP018854	0.9996068087984208	1.0	0.9980164435712159	0.9995297134725356	0.9996115195272021	0.9996078041740094	0.9982836855577716	0.9983777404796067	0.999593566611469	0.9992512393360379	0.9985246263197717	0.999588789243696	0.9994772693584394	0.9997588936883361	0.9996526098689102	0.9985943892705048	0.9632273060597834	0.9996231207335178	0.9984286504030071	0.9980252664872238	0.9996158941585191	0.9996089241492139	0.9636477992011027	0.9995315638922396	0.9995516453561805	0.9996226414384118	0.9996137581168981	0.9982557077013902	0.9995826335746307	0.9996097860515907	0.9985941910899812	0.9996146796345626	0.9982872419759744	0.9980178126721396	0.9631712967699545	0.9996012577660438	0.999907230444243	0.9996068194305722	0.9996018158684935	0.9996179243976789	0.9999136338714669	0.9980224806567369	0.963482062052832
NZ_CP009037	0.9980680919553333	0.9980164435712159	1.0	0.9980954887119996	0.9980992583586626	0.9981002310030395	0.9993272700299792	0.9982452467629056	0.9980314706603489	0.9980176887374034	0.9983873667355196	0.9979637320574911	0.9979316157079773	0.9980160041807862	0.9981030838120543	0.9985523290636195	0.9633866955521764	0.998084449005467	0.9985357915916035	0.9999736010622483	0.9980745756330576	0.9981000364741641	0.9635255089177072	0.9980650760815608	0.9980837571748994	0.998091805509664	0.998086628774413	0.9990040257351723	0.9980859678125474	0.9980795202082057	0.9985443419297075	0.9980911567562659	0.9993334716988055	0.9999870328538621	0.9633576876442644	0.9980787385148664	0.998012125332216	0.9980990638297872	0.9980889460977365	0.9981006200607903	0.9980387948333708	0.9999494469800302	0.9633052732407151
NZ_CP075325	0.9997189857948618	0.9995297134725356	0.9980954887119996	1.0	0.9997595452226067	0.9997580201690841	0.9981514470651146	0.9983816724700766	0.9996659665675142	0.9993733901942379	0.9985254041175811	0.9996568107750213	0.9996024073581145	0.9994975550140315	0.9997051468259602	0.9986356402466611	0.9632463132189235	0.9997427630322936	0.9984827212168025	0.9981114024830874	0.9997373232305172	0.9997600692669595	0.963478355850167	0.9996504892210349	0.9996626720161887	0.9997453671968634	0.9997353467118528	0.998181610710092	0.9997407869722582	0.9997317601630052	0.9986302795743695	0.9997376112391488	0.9981553237486562	0.9981098344003507	0.9631864890056676	0.9997305869943588	0.9995428665865989	0.9997589184849391	0.9997529967308391	0.9997600692669595	0.9995426272187204	0.9981141942383835	0.9632611287428843
NC_003919	0.999812334246031	0.9996115195272021	0.9980992583586626	0.9997595452226067	1.0	0.9999822241217509	0.9983016615001905	0.9983530186172107	0.9997028580131654	0.9995019567188789	0.9984919986188034	0.9996466123420498	0.9996546753406852	0.9996352833406419	0.9997312413676788	0.9986283504049481	0.9632478780590088	0.9999218683081653	0.9984556782162619	0.9981092131260568	0.9999162267111229	0.9999847359306339	0.9636454358565978	0.9998285322026049	0.9998388347578021	0.9999259451901109	0.9999105967183165	0.9983498978865756	0.9997978495455048	0.9999051086457789	0.9986138380570407	0.9999109854282369	0.9983033056923141	0.9981095944937197	0.9631925305545532	0.9999023906071438	0.9996181561254106	0.9999828699758024	0.9999591955832683	0.999986861307381	0.9996326539868569	0.998107523484258	0.9634443113772455
NZ_CP009025	0.999814427880203	0.9996078041740094	0.9981002310030395	0.9997580201690841	0.9999822241217509	1.0	0.9983116972006114	0.9983530358106526	0.9997073916333564	0.9995049697394912	0.9984984085939632	0.9996450834290932	0.9996579048390415	0.9996267681581082	0.9997323884705532	0.9986300692677159	0.963241027906505	0.9999205178225279	0.9984612272810456	0.998110378560452	0.99991603227626	0.999990918837789	0.9636426514443808	0.9998296985177745	0.999840389907432	0.9999280831995746	0.9999129289101479	0.9983468140409336	0.9998027470924757	0.9999070372601219	0.9986147658515063	0.9999140950408155	0.9983133409694513	0.9981107599332473	0.9631844059685217	0.999903538879095	0.9996147677218962	0.9999945899459168	0.9999661246090857	0.9999903391891373	0.9996293364954273	0.9981086889990916	0.9634431291053653
NZ_CP020889	0.9982795628837141	0.9982836855577716	0.9993272700299792	0.9981514470651146	0.9983016615001905	0.9983116972006114	1.0	0.9985654397233542	0.9983169146424278	0.9983017061700888	0.9987542886665867	0.9982202487945926	0.9981254397972467	0.9983208202338207	0.998337155435844	0.9984986612346637	0.9634027874378289	0.9982771246486957	0.9984001921004853	0.9993407212595227	0.9982625498155713	0.9982937086702256	0.9635377353536544	0.9982826714825729	0.9982972722126736	0.9982851171583675	0.9982960515991649	0.9987868355134504	0.998277134637272	0.9982895582268387	0.9984926511372105	0.9982936675599585	0.9999828518166471	0.9993728120672825	0.9633730246373294	0.9982893598458257	0.9982637580107301	0.9982950853460334	0.9982984173235748	0.9982883747348141	0.9982746548273855	0.9993187802103112	0.9633806780026629
NZ_CP060453	0.9983821186582549	0.9983777404796067	0.9982452467629056	0.9983816724700766	0.9983530186172107	0.9983530358106526	0.9985654397233542	1.0	0.9984395165813191	0.9981163661452039	0.9997344490826177	0.9983124770941757	0.9982281152714931	0.9984260607003645	0.9984026048920741	0.9993113029186474	0.9634413818707694	0.9983642767127959	0.9996309006479643	0.9982653374778648	0.9983535766721364	0.9983553539451123	0.9636881696024074	0.9983006959371807	0.9983119808807397	0.9983738941101894	0.9983740832879073	0.9986148811486847	0.998411147743749	0.9983616903475457	0.9993143634157502	0.9983789889019313	0.9985789697767194	0.9982593170559912	0.9633826081774214	0.9983679829818185	0.9983788869913693	0.9983514609949248	0.9983654964492459	0.9983553478702633	0.9983797122248655	0.9982619056559293	0.9635090661088226
NZ_CP060002	0.9996959929084784	0.999593566611469	0.9980314706603489	0.9996659665675142	0.9997028580131654	0.9997073916333564	0.9983169146424278	0.9984395165813191	1.0	0.9993719382219634	0.9985631025500751	0.9996532401062456	0.9995898090416888	0.9996159900065225	0.999733514645728	0.9986352549382276	0.9632171786733829	0.9997399237875075	0.9984689563588003	0.9980527900742062	0.9997298235988926	0.9997054817901705	0.9636493503150998	0.999639573094354	0.9996477350196072	0.9997482612055278	0.9997247618109941	0.9982905943055168	0.9996659713417045	0.9997236424719924	0.9986243849836218	0.9997226201273496	0.9983144498248079	0.998057867764318	0.963165926195836	0.9997158060835833	0.9995965734718375	0.9997075902427283	0.9996827115693254	0.9997060626957591	0.999600223650582	0.9980573429888104	0.9634153086622077
NZ_CP023662	0.9994872606234073	0.9992512393360379	0.9980176887374034	0.9993733901942379	0.9995019567188789	0.9995049697394912	0.9983017061700888	0.9981163661452039	0.9993719382219634	1.0	0.9982532701243455	0.9993078364402094	0.999312893206148	0.9992617511582453	0.999409574547315	0.9982652559006167	0.9633419579576138	0.9995314331206832	0.9981771393890979	0.9980297126952969	0.9995216378111141	0.9995053362506771	0.9636580783970616	0.9995300494839156	0.9995437225216798	0.9995364937797131	0.9995141742069509	0.9981727377387015	0.999386477319541	0.9995210807122917	0.9982596334430962	0.9995162401341908	0.9983149408252305	0.9980300938001464	0.9632962486141098	0.9995203727304801	0.9992579686916339	0.9995038521877639	0.9994807088752556	0.9995040264409473	0.9992735948730003	0.9980251555756713	0.9634184422107916
