	NZ_CP023661	NZ_CP018854	NZ_CP009037	NZ_CP075325	NC_003919	NZ_CP009025	NZ_CP020889	NZ_CP060453	NZ_CP060002	NZ_CP023662	NZ_CP060446	NZ_CP059999	NZ_CP011827	NZ_CP018850	NZ_CP096227	NZ_CP060460	NZ_CP012002	NZ_CP009001	NZ_CP060470	NZ_CP009040	NZ_CP009004	NZ_CP008995	NZ_CP011160	NZ_CP008992	NZ_CP008989	NZ_CP008998	NZ_CP009019	NZ_CP020885	NZ_CP023285	NZ_CP009010	NZ_CP060465	NZ_CP009016	NZ_CP020882	NZ_CP009031	NZ_CP011250	NZ_CP009013	NZ_CP018858	NZ_CP009007	NZ_CP009022	NZ_CP009028	NZ_CP018847	NC_020815	NZ_CP011163
NZ_CP023661	0.0	2100.0	9965.0	1514.0	986.0	975.0	8763.0	8234.0	1640.0	2719.0	7523.0	1894.0	1754.0	2083.0	1561.0	7000.0	159177.0	941.0	7983.0	9960.0	954.0	976.0	159180.0	1425.0	1352.0	892.0	932.0	8827.0	1643.0	998.0	7091.0	926.0	8756.0	9959.0	161594.0	1036.0	2037.0	981.0	1007.0	976.0	1974.0	9943.0	160358.0
NZ_CP018854	2100.0	0.0	10133.0	2505.0	2084.0	2100.0	8695.0	8204.0	2167.0	4013.0	7519.0	2172.0	2793.0	1323.0	1857.0	7056.0	159564.0	2002.0	8081.0	10087.0	2013.0	2094.0	159406.0	2471.0	2383.0	2005.0	2091.0	9115.0	2222.0	2064.0	7055.0	2086.0	8677.0	10126.0	161987.0	2146.0	497.0	2121.0	2140.0	2042.0	468.0	10141.0	160395.0
NZ_CP009037	9965.0	10133.0	0.0	9785.0	9771.0	9766.0	3723.0	8994.0	10068.0	10129.0	8363.0	10412.0	10568.0	10144.0	9748.0	7459.0	159033.0	9766.0	7679.0	141.0	9819.0	9767.0	159711.0	9885.0	9789.0	9731.0	9758.0	5261.0	9802.0	9832.0	7456.0	9754.0	3706.0	69.0	161318.0	9836.0	10176.0	9772.0	9824.0	9764.0	10042.0	269.0	161050.0
NZ_CP075325	1514.0	2505.0	9785.0	0.0	1286.0	1299.0	9389.0	8270.0	1811.0	3357.0	7551.0	1838.0	2130.0	2720.0	1620.0	6921.0	159415.0	1373.0	7822.0	9683.0	1381.0	1288.0	160494.0	1858.0	1800.0	1354.0	1402.0	9386.0	1377.0	1421.0	6948.0	1390.0	9369.0	9691.0	161852.0	1438.0	2412.0	1299.0	1326.0	1288.0	2423.0	9668.0	161751.0
NC_003919	986.0	2084.0	9771.0	1286.0	0.0	92.0	8635.0	8442.0	1592.0	2662.0	7730.0	1871.0	1818.0	1972.0	1474.0	6935.0	159063.0	405.0	7984.0	9719.0	431.0	79.0	159051.0	882.0	829.0	381.0	460.0	8571.0	1119.0	492.0	7036.0	458.0	8627.0	9717.0	161480.0	510.0	2045.0	89.0	212.0	68.0	1960.0	9727.0	160251.0
NZ_CP009025	975.0	2100.0	9766.0	1299.0	92.0	0.0	8584.0	8411.0	1556.0	2636.0	7699.0	1872.0	1801.0	2018.0	1457.0	6928.0	159095.0	412.0	7988.0	9713.0	432.0	47.0	159063.0	876.0	821.0	370.0	448.0	8587.0	1084.0	482.0	7033.0	442.0	8576.0	9711.0	161518.0	504.0	2067.0	28.0	176.0	50.0	1974.0	9721.0	160256.0
NZ_CP020889	8763.0	8695.0	3723.0	9389.0	8635.0	8584.0	0.0	7283.0	8521.0	8668.0	6375.0	9029.0	9497.0	8526.0	8496.0	7688.0	158907.0	8705.0	8288.0	3688.0	8855.0	8676.0	159701.0	8680.0	8606.0	8701.0	8578.0	6316.0	8751.0	8681.0	7718.0	8590.0	93.0	3494.0	161194.0	8682.0	8798.0	8669.0	8652.0	8703.0	8745.0	3756.0	160594.0
NZ_CP060453	8234.0	8204.0	8994.0	8270.0	8442.0	8411.0	7283.0	0.0	7916.0	9572.0	1423.0	8569.0	8986.0	7991.0	8127.0	3607.0	157948.0	8346.0	2026.0	8925.0	8388.0	8432.0	158701.0	8677.0	8617.0	8319.0	8286.0	7098.0	8062.0	8377.0	3578.0	8261.0	7216.0	8956.0	160364.0	8347.0	8194.0	8417.0	8380.0	8430.0	8192.0	8980.0	159820.0
NZ_CP060002	1640.0	2167.0	10068.0	1811.0	1592.0	1556.0	8521.0	7916.0	0.0	3394.0	7307.0	1867.0	2233.0	2083.0	1458.0	6806.0	159541.0	1382.0	7826.0	10016.0	1436.0	1578.0	159598.0	1944.0	1900.0	1338.0	1504.0	8799.0	1813.0	1455.0	6886.0	1516.0	8533.0	9990.0	161942.0	1519.0	2159.0	1555.0	1700.0	1569.0	2140.0	9992.0	160731.0
NZ_CP023662	2719.0	4013.0	10129.0	3357.0	2662.0	2636.0	8668.0	9572.0	3394.0	0.0	8875.0	3772.0	3700.0	3969.0	3290.0	8720.0	158653.0	2532.0	9383.0	10126.0	2576.0	2644.0	158962.0	2483.0	2429.0	2496.0	2587.0	9366.0	3333.0	2579.0	8783.0	2576.0	8566.0	10124.0	161022.0	2602.0	3963.0	2642.0	2786.0	2651.0	3866.0	10149.0	160379.0
NZ_CP060446	7523.0	7519.0	8363.0	7551.0	7730.0	7699.0	6375.0	1423.0	7307.0	8875.0	0.0	7949.0	8297.0	7299.0	7538.0	2822.0	157663.0	7620.0	1253.0	8142.0	7666.0	7731.0	158487.0	8012.0	7963.0	7595.0	7562.0	6300.0	7388.0	7670.0	2820.0	7556.0	6387.0	8180.0	160090.0	7640.0	7509.0	7705.0	7680.0	7731.0	7518.0	8193.0	159440.0
NZ_CP059999	1894.0	2172.0	10412.0	1838.0	1871.0	1872.0	9029.0	8569.0	1867.0	3772.0	7949.0	0.0	2440.0	2324.0	1554.0	7221.0	158632.0	1778.0	8365.0	10392.0	1824.0	1866.0	158626.0	2413.0	2310.0	1792.0	1866.0	9081.0	2004.0	1810.0	7270.0	1898.0	9060.0	10314.0	161005.0	1859.0	2227.0	1864.0	1885.0	1870.0	2118.0	10383.0	159783.0
NZ_CP011827	1754.0	2793.0	10568.0	2130.0	1818.0	1801.0	9497.0	8986.0	2233.0	3700.0	8297.0	2440.0	0.0	2988.0	2213.0	7747.0	159410.0	1742.0	8825.0	10512.0	1759.0	1807.0	159389.0	2181.0	2122.0	1705.0	1564.0	9420.0	2471.0	1730.0	7812.0	1560.0	9344.0	10524.0	161865.0	1776.0	2803.0	1793.0	1922.0	1816.0	2738.0	10474.0	160584.0
NZ_CP018850	2083.0	1323.0	10144.0	2720.0	1972.0	2018.0	8526.0	7991.0	2083.0	3969.0	7299.0	2324.0	2988.0	0.0	1725.0	7039.0	159584.0	1920.0	7792.0	10080.0	1951.0	1959.0	159620.0	2403.0	2397.0	1908.0	2014.0	8852.0	2021.0	1964.0	7051.0	1964.0	8524.0	10091.0	161998.0	1976.0	1161.0	2019.0	1995.0	1958.0	1223.0	10114.0	160687.0
NZ_CP096227	1561.0	1857.0	9748.0	1620.0	1474.0	1457.0	8496.0	8127.0	1458.0	3290.0	7538.0	1554.0	2213.0	1725.0	0.0	6750.0	159541.0	1341.0	7864.0	9695.0	1362.0	1448.0	159763.0	1863.0	1757.0	1355.0	1440.0	8544.0	1520.0	1372.0	6728.0	1435.0	8458.0	9673.0	161908.0	1382.0	1798.0	1457.0	1483.0	1462.0	1753.0	9692.0	160852.0
NZ_CP060460	7000.0	7056.0	7459.0	6921.0	6935.0	6928.0	7688.0	3607.0	6806.0	8720.0	2822.0	7221.0	7747.0	7039.0	6750.0	0.0	160291.0	6702.0	3036.0	7355.0	6838.0	6806.0	159496.0	7226.0	7211.0	6760.0	6738.0	5113.0	6551.0	6866.0	378.0	6767.0	7599.0	7360.0	162726.0	6874.0	6895.0	6808.0	6807.0	6800.0	6874.0	7500.0	160367.0
