	NZ_CP023661	NZ_CP018854	NZ_CP009037	NZ_CP075325	NC_003919	NZ_CP009025	NZ_CP020889	NZ_CP060453	NZ_CP060002	NZ_CP023662	NZ_CP060446	NZ_CP059999	NZ_CP011827	NZ_CP018850	NZ_CP096227	NZ_CP060460	NZ_CP012002	NZ_CP009001	NZ_CP060470	NZ_CP009040	NZ_CP009004	NZ_CP008995	NZ_CP011160	NZ_CP008992	NZ_CP008989	NZ_CP008998	NZ_CP009019	NZ_CP020885	NZ_CP023285	NZ_CP009010	NZ_CP060465	NZ_CP009016	NZ_CP020882	NZ_CP009031	NZ_CP011250	NZ_CP009013	NZ_CP018858	NZ_CP009007	NZ_CP009022	NZ_CP009028	NZ_CP018847	NC_020815	NZ_CP011163
NZ_CP023661	5133840.0	5340913.0	5158113.0	5387628.0	5254022.0	5254022.0	5093473.0	5089372.0	5394611.0	5302889.0	5109628.0	5341532.0	5302656.0	5325944.0	5451226.0	5073832.0	4326299.0	5261525.0	5136776.0	5158136.0	5222814.0	5254022.0	4374034.0	5281838.0	5261770.0	5242830.0	5303175.0	5214810.0	5361162.0	5302861.0	5093762.0	5303175.0	5093469.0	5158110.0	4385408.0	5382877.0	5323393.0	5254022.0	5254122.0	5254022.0	5304773.0	5157769.0	4380453.0
NZ_CP018854	5340913.0	5159828.0	5108501.0	5326540.0	5364491.0	5354468.0	5066088.0	5057144.0	5331747.0	5359523.0	5096336.0	5281963.0	5343096.0	5487206.0	5345575.0	5019882.0	4339198.0	5312046.0	5142713.0	5108031.0	5240743.0	5354460.0	4385044.0	5274999.0	5314989.0	5313249.0	5413706.0	5225615.0	5323859.0	5289406.0	5018463.0	5413677.0	5066098.0	5108498.0	4398390.0	5381923.0	5357361.0	5394468.0	5374398.0	5344492.0	5418791.0	5128142.0	4392225.0
NZ_CP009037	5158113.0	5108501.0	5321141.0	5137801.0	5140625.0	5140625.0	5534167.0	5125507.0	5114478.0	5109692.0	5185928.0	5113276.0	5109302.0	5112914.0	5138867.0	5152414.0	4343585.0	5098272.0	5244472.0	5341124.0	5099655.0	5140625.0	4378704.0	5108728.0	5108434.0	5099585.0	5099899.0	5282265.0	5121126.0	5119554.0	5122082.0	5109901.0	5560154.0	5321140.0	4402506.0	5119553.0	5119035.0	5140625.0	5140619.0	5140625.0	5120321.0	5321146.0	4388914.0
NZ_CP075325	5387628.0	5326540.0	5137801.0	5197184.0	5348199.0	5368216.0	5079108.0	5110214.0	5421613.0	5357401.0	5120725.0	5355646.0	5357242.0	5413528.0	5494260.0	5072709.0	4337388.0	5337491.0	5155282.0	5127085.0	5257412.0	5368216.0	4394490.0	5316002.0	5336053.0	5317461.0	5297497.0	5161711.0	5312233.0	5297498.0	5072568.0	5297483.0	5078940.0	5127064.0	4396538.0	5337530.0	5276359.0	5388219.0	5368350.0	5368216.0	5297648.0	5126721.0	4402721.0
NC_003919	5254022.0	5364491.0	5140625.0	5348199.0	5175554.0	5175553.0	5084381.0	5125741.0	5357708.0	5344917.0	5125990.0	5294469.0	5264611.0	5406937.0	5484475.0	5055956.0	4327995.0	5183556.0	5169907.0	5140188.0	5144838.0	5175553.0	4374994.0	5143823.0	5143789.0	5144838.0	5145225.0	5194224.0	5535481.0	5184877.0	5075886.0	5145225.0	5084593.0	5140167.0	4387153.0	5224907.0	5355592.0	5195556.0	5195516.0	5175553.0	5335569.0	5139826.0	4383750.0
NZ_CP009025	5254022.0	5354468.0	5140625.0	5368216.0	5175553.0	5175550.0	5084396.0	5106972.0	5317688.0	5324927.0	5127227.0	5274479.0	5264617.0	5406827.0	5444459.0	5057190.0	4328059.0	5183552.0	5191150.0	5140183.0	5144834.0	5175549.0	4374989.0	5143819.0	5143785.0	5144834.0	5145221.0	5194213.0	5495483.0	5184873.0	5077120.0	5145221.0	5084608.0	5140162.0	4387217.0	5224903.0	5365594.0	5175549.0	5195512.0	5175549.0	5325585.0	5139821.0	4383745.0
NZ_CP020889	5093473.0	5066088.0	5534167.0	5079108.0	5084381.0	5084396.0	5337525.0	5076817.0	5062726.0	5103946.0	5117558.0	5073181.0	5066255.0	5077479.0	5109317.0	5120763.0	4342052.0	5052600.0	5180622.0	5593992.0	5096549.0	5084712.0	4379898.0	5054362.0	5054243.0	5073816.0	5034190.0	5206219.0	5079329.0	5075297.0	5120248.0	5034189.0	5423315.0	5570898.0	4400964.0	5075293.0	5067266.0	5084712.0	5084678.0	5084641.0	5068551.0	5513639.0	4385499.0
NZ_CP060453	5089372.0	5057144.0	5125507.0	5110214.0	5125741.0	5106972.0	5076817.0	5178485.0	5072787.0	5081667.0	5358671.0	5077857.0	5071436.0	5077070.0	5087658.0	5237426.0	4320404.0	5102330.0	5489037.0	5145093.0	5094680.0	5126939.0	4370504.0	5106208.0	5104800.0	5115903.0	5096202.0	5124470.0	5074103.0	5113197.0	5218508.0	5096202.0	5078006.0	5145107.0	4379449.0	5114530.0	5054552.0	5105733.0	5126939.0	5125704.0	5055892.0	5166578.0	4379718.0
NZ_CP060002	5394611.0	5331747.0	5114478.0	5421613.0	5357708.0	5317688.0	5062726.0	5072787.0	5192310.0	5403927.0	5085262.0	5384129.0	5443806.0	5424338.0	5471220.0	4987012.0	4337378.0	5313827.0	5111546.0	5143770.0	5315046.0	5357903.0	4390513.0	5393604.0	5393667.0	5315033.0	5464358.0	5147403.0	5427678.0	5264919.0	5005761.0	5465429.0	5062442.0	5143831.0	4396527.0	5344942.0	5351656.0	5317880.0	5357901.0	5337873.0	5352993.0	5143471.0	4393395.0
NZ_CP023662	5302889.0	5359523.0	5109692.0	5357401.0	5344917.0	5324927.0	5103946.0	5081667.0	5403927.0	5124906.0	5080923.0	5449579.0	5384898.0	5376236.0	5572253.0	5026678.0	4327918.0	5403711.0	5147404.0	5139352.0	5385041.0	5345045.0	4374067.0	5283535.0	5323515.0	5385041.0	5324954.0	5125701.0	5432562.0	5385041.0	5046638.0	5324956.0	5083501.0	5139331.0	4387072.0	5425046.0	5340745.0	5325026.0	5365006.0	5345043.0	5322099.0	5139139.0	4384149.0
